,BHK,Rent,Size,Area_Type,City,Furnishing_Status,Tenant_Preferred,Bathroom,Point_Contact,Floor_Number,Total_Floor
209,3,0.004801646278724134,0.14893617021276595,1,4,1,1,1,2,1,3
210,2,0.0019435234937692921,0.055068836045056316,1,4,2,0,1,2,1,2
211,1,0.0033725848862467133,0.061326658322903634,1,4,0,0,1,0,2,2
212,2,0.00180061735452155,0.04881101376720901,1,4,2,1,1,2,0,1
213,3,0.003086772607751229,0.12390488110137672,2,4,2,1,2,2,0,1
214,2,0.002800960329255745,0.09261576971214017,1,4,2,0,1,2,0,1
215,1,0.0013718989367783238,0.055068836045056316,2,4,2,2,1,2,0,2
216,3,0.005373270835715102,0.12390488110137672,1,4,2,0,2,0,1,2
217,2,0.0016577112152738082,0.061326658322903634,1,4,2,0,2,2,1,1
218,4,0.008231393620669943,0.19899874843554444,1,4,2,0,2,0,0,1
219,2,0.00180061735452155,0.06758448060075092,1,4,2,0,1,2,0,1
220,1,0.001514805076026066,0.06758448060075092,2,4,2,1,2,2,1,2
221,1,0.0005144621012918714,0.023779724655819776,2,4,2,1,1,2,2,3
222,2,0.0011432491139819366,0.08010012515644555,1,4,2,0,1,2,1,2
223,2,0.0068023322281925225,0.12390488110137672,2,4,0,1,2,2,1,1
224,2,0.003229678746998971,0.08385481852315393,1,4,2,1,2,2,0,2
225,2,0.0020864296330170345,0.08886107634543178,1,4,2,1,2,2,0,1
226,2,0.0006573682405396136,0.061326658322903634,1,4,2,0,1,2,4,5
227,2,0.0016577112152738082,0.09887359198998748,2,4,2,1,1,2,0,2
228,1,0.0005144621012918714,0.018773466833541926,2,4,2,1,1,2,0,1
229,2,0.0036583971647421976,0.14893617021276595,1,4,2,1,2,0,1,2
230,1,0.004801646278724134,0.08635794743429286,2,4,0,1,1,2,0,4
231,1,0.0006573682405396136,0.12390488110137672,2,4,1,1,1,2,0,1
232,2,0.004230021721733165,0.15519399249061328,2,4,2,1,2,0,0,1
233,4,0.009660455013147363,0.19899874843554444,2,4,2,1,3,2,0,3
234,2,0.005659083114210586,0.08635794743429286,2,4,1,1,1,2,0,2
235,1,0.0009431805190350977,0.055068836045056316,2,4,2,1,1,2,0,2
236,2,0.003944209443237681,0.10375469336670837,2,4,1,1,2,2,1,3
237,1,0.0009431805190350977,0.027534418022528158,2,4,2,1,1,2,0,3
238,1,0.0012289927975305819,0.22403003754693365,2,4,2,1,1,2,0,2
239,2,0.0020864296330170345,0.09887359198998748,2,4,2,1,2,2,1,2
240,1,0.0010860866582828397,0.061326658322903634,1,4,1,1,1,2,0,1
241,2,0.0020864296330170345,0.07634543178973716,1,4,2,0,1,2,0,1
242,2,0.0022293357722647767,0.08010012515644555,1,4,2,1,1,2,2,3
243,1,0.00180061735452155,0.06758448060075092,2,4,1,1,1,0,1,2
244,2,0.0016577112152738082,0.055068836045056316,1,4,0,0,2,2,1,3
245,3,0.003944209443237681,0.16770963704630787,1,4,2,2,2,2,1,2
246,2,0.0016577112152738082,0.07384230287859823,2,4,1,1,2,2,2,2
247,3,0.0025151480507602606,0.14893617021276595,2,4,0,1,1,2,2,4
248,2,0.0016577112152738082,0.08635794743429286,2,4,2,1,1,0,1,2
249,3,0.0005716245569909683,0.09887359198998748,1,4,0,1,2,2,1,3
250,2,0.0013718989367783238,0.07384230287859823,1,4,1,1,1,2,0,3
251,2,0.003086772607751229,0.11138923654568209,2,4,2,1,2,2,1,3
252,2,0.0013718989367783238,0.09261576971214017,2,4,2,1,1,2,0,1
253,3,0.0025151480507602606,0.15519399249061328,2,4,2,1,2,2,1,2
254,3,0.003086772607751229,0.12390488110137672,2,4,1,1,3,2,2,2
255,2,0.0019435234937692921,0.07384230287859823,2,4,1,1,1,2,0,2
256,2,0.001171830341831485,0.08010012515644555,1,4,2,1,1,2,1,1
257,2,0.0010860866582828397,0.055068836045056316,1,4,2,0,1,2,2,3
258,3,0.0020864296330170345,0.09887359198998748,2,4,2,1,2,2,0,2
259,3,0.00594489539270607,0.12390488110137672,1,4,1,1,2,2,0,3
260,2,0.0016577112152738082,0.12390488110137672,2,4,2,1,1,2,0,3
261,3,0.0068023322281925225,0.1739674593241552,1,4,0,0,3,0,5,5
262,2,0.0016577112152738082,0.07384230287859823,1,4,1,0,1,2,1,4
263,2,0.003944209443237681,0.08923654568210261,1,4,0,2,1,2,0,3
264,1,0.0013718989367783238,0.03879849812265331,1,4,2,1,1,2,0,2
265,2,0.0019435234937692921,0.11138923654568209,2,4,1,1,1,2,0,3
266,3,0.011089516405624784,0.1739674593241552,1,4,0,1,2,0,0,2
267,1,0.0013718989367783238,0.2690863579474343,2,4,1,0,1,2,1,2
268,2,0.003944209443237681,0.08010012515644555,1,4,1,1,1,2,0,2
269,2,0.001514805076026066,0.09887359198998748,2,4,1,1,1,2,1,1
270,3,0.0019435234937692921,0.09887359198998748,2,4,1,1,1,2,2,3
271,1,0.0012289927975305819,0.061326658322903634,1,4,2,1,1,2,0,2
272,3,0.0022293357722647767,0.21151439299123903,2,4,1,1,2,2,1,2
273,1,0.0013718989367783238,0.015018773466833543,1,4,1,1,1,2,0,2
274,1,0.003944209443237681,0.06195244055068836,2,4,0,1,1,2,0,3
275,4,0.008231393620669943,0.4993742177722153,2,4,0,1,3,0,0,3
276,3,0.008231393620669943,0.15519399249061328,2,4,2,1,2,2,0,2
277,1,0.0010860866582828397,0.08635794743429286,1,4,2,1,1,2,0,2
278,2,0.003944209443237681,0.11138923654568209,2,4,2,0,1,2,0,1
279,1,0.001514805076026066,0.08010012515644555,2,4,1,1,1,2,1,1
280,2,0.0009431805190350977,0.09261576971214017,2,4,0,1,1,2,0,1
281,2,0.0016577112152738082,0.055068836045056316,1,4,2,1,1,2,0,3
282,1,0.001514805076026066,0.0425531914893617,1,4,1,1,1,2,1,2
283,1,0.004658740139476391,0.058823529411764705,1,4,0,0,2,2,1,2
284,2,0.0025151480507602606,0.11138923654568209,2,4,2,1,1,2,0,3
285,1,8.574368354864525e-05,0.023779724655819776,2,4,1,1,1,2,0,2
286,3,0.0068023322281925225,0.13642052565707133,2,4,2,1,3,2,2,3
287,2,0.003086772607751229,0.09887359198998748,1,4,2,1,1,2,1,2
288,3,0.00180061735452155,0.12390488110137672,1,4,0,1,2,2,0,2
289,1,0.0016577112152738082,0.09887359198998748,1,4,2,1,1,2,1,2
290,1,0.0006573682405396136,0.023779724655819776,2,4,1,1,1,2,-1,4
291,3,0.0025151480507602606,0.1476846057571965,1,4,2,1,2,2,1,2
292,2,0.0036583971647421976,0.11138923654568209,1,4,2,0,2,0,0,2
